Number,English,Spanish,French,German,Hindi
655,case,caso,cas,Fall,मामला
656,middle,medio,milieu,Mitte,मध्य
657,kill,matar,tuer,töten,मार
658,son,hijo,fils,Sohn,बेटा
659,lake,lago,lac,See,झील
660,moment,momento,moment,Moment,पल
661,scale,escala,échelle,Maßstab,स्केल
662,loud,fuerte,fort,laut,जोर
663,spring,primavera,printemps,Frühling,बहार ह
664,observe,observar,observer,beobachten,निरीक्षण
665,child,niĄo,enfant,Kind,बच्चा
666,straight,recta,droit,gerade,सीधे
667,consonant,consonante,consonne,Konsonant,व्यंजन
668,nation,nación,nation,Nation,राष्ट्र
669,dictionary,diccionario,dictionnaire,Wörterbuch,शब्दकोश
670,milk,leche,lait,milch,दूध
671,speed,velocidad,vitesse,Geschwindigkeit,स्पीड
672,method,método,méthode,Verfahren,तरीका
673,organ,órgano,organe,Orgel,अंग
674,pay,pagar,payer,zahlen,भुगतान करते हैं
675,age,edad,âge,Alter,उम्र
676,section,sección,section,Abschnitt,अनुभाग
677,dress,vestido,robe,Kleid,परिधान
678,cloud,nube,nuage,Wolke,बादल
679,surprise,sorpresa,surprise,Überraschung,आश्चर्य
680,quiet,tranquila,calme,ruhig,शांत
681,stone,piedra,pierre,Stein,पत्थर
682,tiny,pequeĄo,minuscule,winzig,छोटे
683,climb,ascenso,montée,Aufstieg,चढना
684,cool,fresco,frais,kühlen,ठंडा
685,design,diseĄo,conception,Entwurf,डिज़ाइन
686,poor,pobre,pauvres,arm,गरीब
687,lot,mucho,lot,Menge,बहुत
688,experiment,experimento,expérience,Versuch,प्रयोग
689,bottom,inferior,bas,Boden,तल
690,key,clave,clé,Schlüssel,चाभी
691,iron,hierro,fer,Eisen,लोहा
692,single,sola,unique,Einzel,एक
693,stick,palillo,bâton,Stick,छड़ी
694,flat,plana,plat,Wohnung,समतल
695,twenty,veinte,vingt,zwanzig,बीस
696,skin,piel,peau,Haut,त्वचा
697,smile,sonrisa,sourire,Lächeln,मुस्कुराओ
698,crease,pliegue,pli,Falte,शिकन
699,hole,agujero,trou,Loch,छेद
700,jump,saltar,sauter,springen,कूद
701,baby,bebé,bébé,Kind,बेबी
702,eight,ocho,huit,acht,आठ
703,village,pueblo,village,Dorf,गाँव
704,meet,se reúnen,se rencontrent,treffen,मिलना
705,root,raíz,racine,Wurzel,जड़
706,buy,comprar,acheter,kaufen,खरीद
707,raise,aumentar,augmenter,erhöhen,बढ़ाने
708,solve,resolver,résoudre,lösen,का समाधान
709,metal,de metal,métal,Metall,धातु
710,whether,si,si,ob,कि क्या
711,push,empujar,pousser,drücken,धक्का दें
712,seven,siete,sept,sieben,सात
713,paragraph,párrafo,paragraphe,Absatz,अनुच्छेद
714,third,tercero,troisiŐme,dritte,तीसरा
715,shall,deberá,doit,wird,करेगा
716,held,en espera,en attente,Hand,आयोजित
717,hair,pelo,cheveux,Haar,केश
718,describe,describir,décrire,beschreiben,वर्णन
719,cook,cocinero,cuisinier,Koch,रसोइया
720,floor,piso,étage,Boden,मंज़िल
721,either,ya sea,chaque,entweder,भी
722,result,resultado,résultat,Ergebnis,परिणाम
723,burn,quemar,brľler,brennen,जलाना
724,hill,colina,colline,Hügel,पहाड़ी
725,safe,seguro,coffre-fort,sicher,सुरक्षित
726,cat,gato,chat,Katze,बिल्ली
727,century,siglo,siŐcle,Jahrhundert,सदी
728,consider,considerar,envisager,betrachten,विचार करें
729,type,tipo,type,Typ,प्रकार
730,law,ley,droit,Gesetz,कानून
731,bit,bit,peu,Bit,बिट
732,coast,costa,côte,Küste,कोस्ट
733,copy,copia,copie,Kopie,प्रतिलिपि
734,phrase,frase,phrase,Ausdruck,मुहावरा
735,silent,silencio,silencieux,still,मूक
736,tall,de altura,haut,hoch,लंबा
737,sand,arena,sable,Sand,रेत
738,soil,suelo,sol,Boden,मिट्टी
739,roll,rollo,rouleau,Rolle,घूमना
740,temperature,temperatura,température,Temperatur,तापमान
741,finger,dedo,doigt,Finger,उंगली
742,industry,industria,industrie,Industrie,उद्योग
743,value,valor,valeur,Wert,मूल्य
744,fight,lucha,lutte,Kampf,लड़ाई
745,lie,mentira,mensonge,Lüge,झूठ
746,beat,batir,battre,schlagen,हराना
747,excite,excitar,exciter,begeistern,एक्साइट
748,natural,naturales,naturel,natürlich,प्राकृतिक
749,view,vista,vue,Blick,राय
750,sense,sentido,sens,Sinn,समझ
751,capital,de capital,capital,Hauptstadt,राजधानी
752,won?t,no lo hará,ne sera pas,wird nicht,जीता? टी
753,chair,silla,chaise,Stuhl,कुरसी
754,danger,peligro,danger,Achtung,खतरा
755,fruit,fruta,fruit,Obst,फल
756,rich,rica,riche,reich,धनी
757,thick,de espesor,épais,dick,मोटा
758,soldier,soldado,soldat,Soldat,फोजी
759,process,proceso,processus,Prozess,प्रोसेस
760,operate,operar,fonctionner,betreiben,संचालित
761,practice,práctica,pratique,Praxis,अभ्यास
762,separate,separada,séparé,trennen,अलग
763,difficult,difícil,difficile,schwierig,कठिन
764,doctor,médico,médecin,Arzt,चिकित्सक
765,please,por favor,s?il vous plaît,Bitte,कृप्या अ
766,protect,proteger,protéger,schützen,रक्षा करना
767,noon,mediodía,midi,Mittag,दोपहर
768,crop,de cultivos,récolte,Ernte,काटना
769,modern,moderno,moderne,modernen,आधुनिक
770,element,elemento,élément,Elementes,तत्त्व
771,hit,golpear,frapper,treffen,मारो
772,student,estudiante,étudiant,Schüler,छात्र
773,corner,esquina,coin,Ecke,कोने
774,party,partido,partie,Partei,पार्टी
775,supply,suministro,alimentation,Versorgung,आपूर्ति
776,whose,cuya,dont,deren,किसका
777,locate,localizar,localiser,lokalisieren,का पता लगाने
778,ring,anillo,anneau,Rings,अंगूठी
779,character,carácter,caractŐre,Charakter,चरित्र
780,insect,insecto,insecte,insekt,कीट
781,caught,capturado,pris,gefangen,पकड़े गए
782,period,período,période,Zeit,अवधि
783,indicate,indicar,indiquer,zeigen,संकेत मिलता है
784,radio,Radio,radio,Funk,रेडियो
785,spoke,habló,rayon,Speiche,स्पोक
786,atom,átomo,atome,Atom,परमाणु
787,human,humana,humain,Mensch,मानव
788,history,historia,histoire,Geschichte,इतिहास
789,effect,efecto,effet,Wirkung,प्रभाव
790,electric,eléctrica,électrique,elektrisch,बिजली
791,expect,esperar,attendre,erwarten,उम्मीद
792,bone,hueso,os,Knochen,हड्डी
793,rail,ferrocarril,rail,Schiene,रेल
794,imagine,imaginar,imaginer,vorstellen,कल्पना कीजिए
795,provide,proporcionar,fournir,bieten,प्रदान करें
796,agree,acuerdo,se mettre d?accord,zustimmen,इस बात से सहमत
797,thus,"por tanto,",ainsi,so,इस प्रकार
798,gentle,suave,doux,sanft,सज्जन
799,woman,mujer,femme,Frau,महिला
800,captain,capitán,capitaine,Kapitän,कप्तान
801,guess,adivinar,deviner,erraten,अनुमान
802,necessary,necesario,nécessaire,erforderlich,ज़रूरी
803,sharp,agudo,net,scharf,तेज़
804,wing,ala,aile,Flügel,विंग
805,create,crear,créer,schaffen,सृजन करना
806,neighbor,vecino,voisin,Nachbar,पड़ोसी
807,wash,lavado,lavage,Wasch,धुलाई
808,bat,bate,chauve-souris,Fledermaus,बल्ला
809,rather,más bien,plutôt,eher,बल्कि
810,crowd,multitud,foule,Menge,भीड़
811,corn,maíz,blé,mais,मक्का
812,compare,comparar,comparer,vergleichen,तुलना
813,poem,poema,poŐme,Gedicht,कविता
814,string,cadena,chaîne,Schnur,तार
815,bell,campana,cloche,Glocke,घंटी
816,depend,dependerá,dépendre,abhängen,निर्भर
817,meat,carne,viande,Fleisch,मांस
818,rub,frotar,rub,einreiben,रगड़
819,tube,tubo,tube,Rohr,ट्यूब
820,famous,famoso,célŐbre,berühmt,ख्याति प्राप्त
921,dollar,dólar,dollar,Dollar,डॉलर
822,stream,corriente,courant,Strom,धारा
823,fear,miedo,peur,Angst,डर
284,sight,vista,vue,Blick,दृष्टि
825,thin,delgado,mince,dünn,पतला
826,triangle,triángulo,triangle,Dreieck,त्रिकोण
827,planet,planeta,planŐte,Erde,ग्रह
828,hurry,prisa,se dépłcher,Eile,जल्दी कीजिये
829,chief,jefe,chef,Chef,दार सर
830,colony,colonia,colonie,Kolonie,कालोनी
831,clock,reloj,horloge,Uhr,घड़ी
832,mine,mina,mine,Mine,मेरी
833,tie,empate,lien,Krawatte,गुलोबन्द
834,enter,entrar,entrer,eingeben,दर्ज करें
835,major,importante,majeur,Dur,प्रमुख
836,fresh,fresco,frais,frisch,ताज़ा
837,search,búsqueda,recherche,Suche,खोज कर
838,send,enviar,envoyer,senden,भेजने
839,yellow,amarillo,jaune,gelb,पीला
840,gun,pistola,pistolet,Pistole,बंदूक
841,allow,permitir,permettre,erlauben,अनुमति
842,print,print,impression,Druck,प्रिंट
843,dead,muerto,mort,tot,मरे हुए
844,spot,lugar,place,Stelle,स्थान
845,desert,desierto,désert,Wüste,रेगिस्तान
846,suit,traje,costume,Anzug,सूट
847,current,actual,courant,Strom,वर्तमान
848,lift,ascensor,ascenseur,Aufzug,लिफ़्ट
840,rose,rosa,rose,stiegen,गुलाब का फूल
850,arrive,llegar,arriver,ankommen,आने
851,master,master,maître,Stamm,गुरुजी
852,track,pista,piste,Spur,धावन पथ
853,parent,padre,mŐre,Elternteil,माता-पिता
854,shore,orilla,rivage,Ufer,किनारा
855,division,división,division,Teilung,विभाजन
856,sheet,hoja,feuille,Blatt,चादर
857,substance,sustancia,substance,Substanz,पदार्थ
858,favor,favorecer,favoriser,begünstigen,एहसान
859,connect,conectar,relier,verbinden,जुडिये
860,post,mensaje,poste,nach,पद
861,spend,pasar,passer,verbringen,खर्च करते हैं
862,chord,acorde,corde,Akkord,तार
863,fat,grasa,graisse,Fett,मोटी
864,glad,contento,heureux,froh,प्रसन्न
865,original,originales,original,Original,मूल
866,share,cuota,part,Aktie,शेयर
867,station,estación,station,Station,स्टेशन
868,dad,papá,papa,Papa,पिता
869,bread,pan,pain,Brot,रोटी
870,charge,cobrar,charger,aufladen,चार्ज
871,proper,adecuada,propre,richtig,उचित
872,bar,barra,bar,Leiste,बार
873,offer,oferta,proposition,Angebot,प्रस्ताव
874,segment,segmento,segment,Segment,खंड
875,slave,esclavo,esclave,Sklave,दास
876,duck,pato,canard,ente,बत्तख
877,instant,instantánea,instant,Augenblick,तुरंत
878,market,mercado,marché,Markt,मंडी
879,degree,grado,degré,Grad,डिग्री
880,populate,poblar,peupler,besiedeln,आबाद करना
881,chick,polluelo,poussin,küken,लड़की
882,dear,querido,cher,liebe,प्रिय
883,enemy,enemigo,ennemi,Feind,दुश्मन
884,reply,responder,répondre,antworten,जवाब दे दो
885,drink,bebida,boisson,Getränk,पीना
886,occur,producirse,se produire,auftreten,पाए जाते हैं
887,support,apoyo,support,Unterstützung,सहयोग
888,speech,discurso,discours,Rede,भाषण
889,nature,naturaleza,nature,Natur,प्रकृति
890,range,alcance,gamme,Angebot,रेंज
891,steam,vapor,vapeur,Dampf,भाप
892,motion,movimiento,mouvement,Bewegung,प्रस्ताव
893,path,camino,chemin,Weg,पथ
894,liquid,líquido,liquide,Flüssigkeit,तरल
895,log,log,enregistrer,protokollieren,लॉग
896,meant,significado,signifiait,gemeint,मतलब
897,quotient,cociente,quotient,Quotient,लब्धि
898,teeth,dientes,dents,Gebiss,दांत
899,shell,concha,coquille,Schale,शेल
900,neck,cuello,cou,Hals,गरदन
901,oxygen,oxígeno,oxygŐne,Sauerstoff,ऑक्सीजन
902,sugar,azúcar,sucre,Zucker,चीनी
903,death,muerte,décŐs,Tod,मौत
904,pretty,bastante,assez,ziemlich,सुंदर हे
905,skill,habilidad,compétence,Geschicklichkeit,कौशल
906,women,mujeres,femmes,Frauen,महिलाओं
907,season,temporada,saison,Saison,मौसम
908,solution,solución,solution,Lösung,समाधान
909,magnet,imán,aimant,Magnet,चुंबक
910,silver,plata,argent,Silber,चांदी
911,thank,gracias,merci,danken,धन्यवाद
912,branch,rama,branche,Zweig,डाली
913,match,partido,rencontre,Spiel,मेल खाते हैं
914,suffix,sufijo,suffixe,Suffix,प्रत्यय
915,especially,especialmente,particuliŐrement,insbesondere,विशेष रूप से
916,fig,higo,figue,Feige,अंजीर
917,afraid,miedo,peur,ängstlich,डरा हुआ
918,huge,enorme,énorme,riesig,विशाल
919,sister,hermana,s?ur,Schwester,बहन
920,steel,acero,acier,Stahl,इस्पात
921,discuss,discutir,discuter,diskutieren,चर्चा करें
922,forward,adelante,avant,vorwärts,आगे
923,similar,similar,similaire,ähnlich,समान
924,guide,guiar,guider,führen,मार्गदर्शक
925,experience,experiencia,expérience,Erfahrung,अनुभव
926,score,puntuación,score,Partitur,स्कोर
927,apple,manzana,pomme,apfel,सेब
928,bought,comprado,acheté,gekauft,खरीद लिया
929,led,llevado,LED,geführt,एलईडी
930,pitch,pitch,pas,Tonhöhe,पिच
931,coat,abrigo,manteau,Mantel,कोट
932,mass,masa,masse,Masse,द्रव्यमान
933,card,tarjeta,carte,Karte,कार्ड
934,band,banda,bande,Band,बैंड
935,rope,cuerda,corde,Seil,रस्सी
936,slip,deslizamiento,glissement,Rutsch,पर्ची
937,win,ganar,gagner,gewinnen,जीत
938,dream,soĄar,rłver,träumen,सपना है
939,evening,noche,soirée,Abend,शाम
940,condition,condición,condition,Zustand,स्थिति
941,feed,pienso,alimentation,Futtermittel,चारा
942,tool,herramienta,outil,Werkzeug,साधन
943,total,totales,total,gesamt,संपूर्ण
944,basic,básico,de base,Basis,बुनियादी
945,smell,olor,odeur,Geruch,गंध
946,valley,valle,vallée,Tal,घाटी
947,nor,ni,ni,noch,न
948,double,doble,double,doppelt,दोहरा
949,seat,asiento,siŐge,Sitz,सीट
950,continue,continuar,continuer,fortsetzen,जारी रखें
951,block,bloque,bloc,Block,खंड मैथा
952,chart,tabla,graphique,Tabelle,चार्ट
953,hat,sombrero,chapeau,Hut,टोपी
954,sell,vender,vendre,verkaufen,बेचना
955,success,éxito,succŐs,Erfolg,सफलता
956,company,empresa,entreprise,Firma,कंपनी
957,subtract,restar,soustraire,subtrahieren,घटाना
958,event,evento,événement,Veranstaltung,प्रतिस्पर्धा
959,particular,"particular,",particulier,besondere,विशेष
960,deal,acuerdo,accord,viel,सौदा
961,swim,nadar,baignade,schwimmen,तैराकी
962,term,plazo,terme,Begriff,अवधि
963,opposite,opuesta,opposé,Gegenteil,सामने
964,wife,esposa,femme,Frau,पत्नी
965,shoe,zapato,chaussure,Schuh,जूता
966,shoulder,hombro,épaule,Schulter,कंधा
967,spread,propagación,propagation,Verbreitung,फैलाव
968,arrange,organizar,organiser,arrangieren,व्यवस्था
969,camp,campamento,camp,Lager,शिविर
970,invent,inventar,inventer,erfinden,आविष्कार करना
971,cotton,algodón,coton,Baumwolle,कपास
972,born,nacido,né,geboren,उत्पन्न होने वाली
973,determine,determinar,déterminer,bestimmen,निर्धारित
974,quart,cuarto de galón,litre,Quart,चौथाई गेलन
975,nine,nueve,neuf,neun,नौ
976,truck,camión,camion,Lastwagen,ट्रक
977,noise,ruido,bruit,Lärm,शोर
978,level,nivel,niveau,Ebene,स्तर
979,chance,oportunidad,chance,Chance,मोका
980,gather,reunir,recueillir,sammeln,इकट्ठा
981,shop,tienda,boutique,Geschäft,दुकान
982,stretch,tramo,tronçon,Stretch,खिंचाव
983,throw,lanzar,jeter,werfen,फेंकना
984,shine,brillo,éclat,Glanz,चमक
985,property,propiedad,propriété,Immobilien,संपत्ति
986,column,columna,colonne,Spalte,स्तंभ
987,molecule,molécula,molécule,Molekül,अणु
988,select,seleccionar,sélectionner,wählen,चुनते हैं
989,wrong,mal,mal,falsch,गलत
990,gray,gris,gris,grau,धूसर
991,repeat,repita,répétition,Wiederholung,दोहराना
992,require,exigir,exiger,erfordern,की आवश्यकता होती है
993,broad,amplio,large,breit,ब्रॉड
994,prepare,preparar,préparer,vorbereiten,तैयार
995,salt,sal,sel,Salz,नमक
996,nose,nariz,nez,Nase,नाक
997,plural,plurales,pluriel,mehreren,बहुवचन
998,anger,cólera,colŐre,Zorn,गुस्सा
999,claim,reclamación,revendication,Anspruch,दावा
1000,continent,continente,contexte,Kontinent,महाद्वीप
1001,background,antecedentes,Arrière-plan,Hintergrund,पृष्ठभूमि
1002,tench,tenca,tanche,Schleie,टेंच
1003,goldfish,pez de colores,poisson rouge,Goldfisch,ज़र्द मछली
1004,great white shark,gran tiburón blanco,grand requin blanc,großer weißer Hai,विशाल सफेद शार्क
1005,tiger shark,tiburón tigre,requin tigre,Tigerhai,टाइगर शार्क
1006,hammerhead,martillo,hammerhead,Hammerkopf,हथौड़ा का सिरा
1007,electric ray,raya eléctrica,ray électrique,Zitterrochen,बिजली रे
1008,stingray,mantarraya,Raie,Stachelrochen,stingray
1009,cock,polla,coq,Schwanz,मुर्गा
1010,hen,gallina,poule,Henne,मुर्गी
1011,ostrich,avestruz,autruche,Strauß,शुतुरमुर्ग
1012,brambling,pinzón,pinson,brambling,brambling
1013,goldfinch,jilguero,chardonneret,Stieglitz,सोने का सिक्का
1014,house finch,pinzón de casa,roselin,Haus finch,घर चिड़िया
1015,junco,junco,Junco,Junco,Junco
1016,indigo bunting,empavesado de añil,bruant indigo,indigo bunting,इंडिगो बन्टिंग
1017,robin,Robin,rouge-gorge,Robin,रोबिन
1018,bulbul,Bulbul,bulbul,bulbul,बुलबुल
1019,jay,arrendajo,geai,Eichelhäher,नीलकंठ
1020,magpie,urraca,pie,Elster,अधेला
1021,chickadee,paro,mésange,Meise,चिकैडी
1022,water ouzel,Ouzel agua,merle d'eau,Wasseramsel,पानी ऊज़्ल
1023,kite,cometa,cerf-volant,Drachen,पतंग
1024,bald eagle,Águila calva,Pygargue à tête blanche,Weißkopfseeadler,गंजा ईगल
1025,vulture,buitre,vautour,Geier,गिद्ध
1026,great grey owl,gran búho gris,grand hibou gris,Bartkauz,महान ग्रे उल्लू
1027,European fire salamander,salamandra Europea,salamandre européenne d'incendie,Europäische Feuersalamander,यूरोपीय आग सैलामैंडर
1028,common newt,tritón común,triton commun,gemeinsamer Molch,आम न्यूट
1029,eft,EFT,TEF,inks,ईएफटी
1030,spotted salamander,salamandra común,salamandre maculée,Feuersalamander,धब्बेदार सैलामैंडर
1031,axolotl,ajolote,axolotl,Axolotl,Axolotl
1032,bullfrog,rana mugidora,grosse grenouille,Ochsenfrosch,bullfrog
1033,tree frog,rana de árbol,rainette,Laubfrosch,पेड़ के मेंढक
1034,tailed frog,ascaphus,ascaphus,tailed Frosch,पूंछ मेंढक
1035,loggerhead,necio,caouanne,Dummkopf,लंठ
1036,leatherback turtle,tortuga laúd,tortue luth,Lederschildkröte,चमड़े की पीठ वाला कछुआ
1037,mud turtle,tortuga de barro,tortue de boue,Schlamm Schildkröte,कीचड़ कछुआ
1038,terrapin,tortuga de agua dulce,tortue d'eau douce,dosen,टेरपनि
1039,box turtle,cuadro de tortuga,tortue boîte,Box Schildkröte,बॉक्स कछुआ
1040,banded gecko,gecko congregado,bagués gecko,banded gecko,धारियों छिपकली
1041,common iguana,iguana común,iguane commun,Leguane,आम गोधा
1042,American chameleon,camaleón de América,caméléon américain,amerikanisches Chamäleon,अमेरिकी गिरगिट
1043,whiptail,whiptail,whiptail,whiptail,whiptail
1044,agama,Agama,agame,agama,आगम
1045,frilled lizard,lagarto con volantes,lézard à collerette,Kragenechse,झालरदार छिपकली
1046,alligator lizard,cocodrilo lagarto,alligator lézard,Alligator Eidechse,मगरमच्छ छिपकली
1047,Gila monster,monstruo Gila,monstre de Gila,Gila-Monster,गिला राक्षस
1048,green lizard,Lagartija verde,lézard vert,grüne Eidechse,हरे रंग की छिपकली
1049,African chameleon,camaleón africano,caméléon africaine,African Chamäleon,अफ्रीकी गिरगिट
1050,Komodo dragon,Dragon de Komodo,Dragon de Komodo,Komodowaran,कोमोडो ड्रैगन
1051,African crocodile,cocodrilo africano,crocodile d'Afrique,Afrikanisches Krokodil,अफ्रीकी मगरमच्छ
1052,American alligator,cocodrilo americano,alligator américain,amerikanischer Alligator,अमेरिकी मगरमच्छ
1053,triceratops,triceratops,Triceratops,Triceratops,triceratops
1054,thunder snake,serpiente de trueno,serpent tonnerre,Donner Schlange,गड़गड़ाहट साँप
1055,ringneck snake,serpiente ringneck,couleuvre à collier,ringneck Schlange,ringneck साँप
1056,hognose snake,serpiente de hocico de cerdo,serpent groin,hognose Schlange,साँप
1057,green snake,serpiente verde,serpent vert,grüne Schlange,हरे सांप
1058,king snake,Rey Serpiente,Roi serpent,Königsschlange,राजा साँप
1059,garter snake,serpiente de liga,couleuvre,Strumpfbandnatter,गार्टर सांप
1060,water snake,serpiente de agua,serpent d'eau,Wasserschlange,जलसांप
1061,vine snake,serpiente de vid,serpent vigne,Rebe Schlange,बेल साँप
1062,night snake,serpiente de la noche,serpent de nuit,Nacht Schlange,रात साँप
1063,boa constrictor,Boa constrictor,Boa constrictor,Boa Constrictor,बोआ कंस्ट्रिकटर
1064,rock python,pitón,python rock,Rock python,रॉक अजगर
1065,Indian cobra,Naja naja,cobra indien,indische Kobra,भारतीय कोबरा
1066,green mamba,mamba verde,mamba vert,grün mamba,हरी mamba
1067,sea snake,serpiente de mar,serpent de mer,Seeschlange,समुद्री सांप
1068,horned viper,víbora cornuda,vipère cornue,Hornviper,सींग वाले सांप
1069,diamondback,Diamondback,Diamondback,Diamond,डायमंडबैक
1070,sidewinder,Sidewinder,Sidewinder,Sidewinder,पहलू की चोट
1071,trilobite,trilobites,trilobite,Trilobiten,पेलेयोजोईक
1072,harvestman,segador,moissonneur,harvestman,harvestman
1073,scorpion,escorpión,Scorpion,Skorpion,बिच्छू
1074,black and gold garden spider,negro y oro araña de jardín,araignée noire et jardin d'or,Schwarz und Gold Gartenspinne,काले और सोने उद्यान मकड़ी
1075,barn spider,araña de granero,araignée grange,Scheune Spinne,खलिहान मकड़ी
1076,garden spider,araña de jardín,araignée jardin,Gartenspinne,उद्यान मकड़ी
1077,black widow,viuda negra,veuve noire,Schwarze Witwe,काली माई
1078,tarantula,tarántula,tarentule,Tarantel,टारेंटयुला
1079,wolf spider,araña lobo,araignée loup,Wolfspinne,भेड़िया मकड़ी
1080,tick,garrapata,cocher,Tick,टिकटिक
1081,centipede,ciempiés,Mille-Pattes,Tausendfüßler,चालीसपद
1082,black grouse,urogallo negro,Grouse noire,Birkhuhn,काला तीतर
1083,ptarmigan,perdiz nival,lagopède,Schneehuhn,तीतर
1084,ruffed grouse,urogallo superado,gélinotte huppée,Kragenhuhn,बदमाश का शिकायत
1085,prairie chicken,pollo de la pradera,poulet prairie,Präriehuhn,प्रेयरी चिकन
1086,peacock,pavo real,paon,Pfau,मोर
1087,quail,codorniz,Caille,Wachtel,बटेर
1088,partridge,perdiz,perdrix,Rebhuhn,तीतर
1089,African grey,gris africano,gris d'Afrique,Afrikanisches Grau,अफ्रीकी ग्रे
1090,macaw,guacamayo,ara,Ara,एक प्रकार का तोता
1091,sulphur-crested cockatoo,cockatoo cresta azufre,soufre-crêté cacatoès,Gelbhaubenkakadu,सल्फर कलगी कौकेटू
1092,lorikeet,lorikeet,lori,lorikeet,दूरबीन
1093,coucal,cucal,coucal,coucal,Coucal
1094,bee eater,comedor de abejas,mangeur d'abeilles,Bienenesser,पतेना
1095,hornbill,hornbill,calao,Hornbill,हॉर्नबिल
1096,hummingbird,colibrí,colibri,Kolibri,चिड़ियों
1097,jacamar,jacamar,jacamar,jacamar,jacamar
1098,toucan,tucán,toucan,Tukan,टूकेन
1099,drake,pato,canard,Erpel,मक्खी
1100,red-breasted merganser,serreta-roja,Harle à poitrine rousse,Säger,लाल छाती MERGANSER
1101,goose,ganso,OIE,Gans,बत्तख
1102,black swan,cisne negro,cygne noir,schwarzer Schwan,काला हंस
1103,tusker,elefante,éléphant adulte,tusker,हाथी
1104,echidna,equidna,échidné,echidna,इकिडना
1105,platypus,ornitorrinco,ornithorynque,Schnabeltier,एक प्रकार का बत्तक-सदृश नाक से पशु
1106,wallaby,wallaby,wallaby,Wallaby,आस्ट्रेलियन
1107,koala,coala,koala,Koala,कोअला
1108,wombat,wombat,wombat,wombat,वोमब्रेट
1109,jellyfish,Medusa,méduse,Qualle,जेलिफ़िश
1110,sea anemone,anémona de mar,Anémone de mer,Seeanemone,समुद्री एनिमोन
1111,brain coral,coral cerebro,corail cerveau,Hirnkoralle,मस्तिष्क मूंगा
1112,flatworm,platelmintos,flatworm,flatworm,flatworm
1113,nematode,nematodo,nématodes,Nematoden,निमेटोड
1114,conch,concha,conque,Tritonshorn,शंख
1115,snail,Caracol,escargot,Schnecke,घोंघा
1116,slug,babosa,limace,Schnecke,काउंटर
1117,sea slug,babosa de mar,Limace de mer,Meeresschnecke,समुद्री स्लग
1118,chiton,chitona,chiton,chiton,कैटन
1119,chambered nautilus,nautilo,chambré nautilus,Kammerschalennautilus,संभाग नॉटिलस
1120,Dungeness crab,cangrejo Dungeness,crabe dormeur,Dungeness crab,दंजेनेस केकड़ा
1121,rock crab,cangrejo de roca,crabe,Rock Krabbe,रॉक केकड़ा
1122,fiddler crab,cangrejo violinista,crabes Fiddler,Winkerkrabbe,Fiddler केकड़ा
1123,king crab,cangrejo real,crabe royal,Königskrabbe,किंग क्रैब
1124,American lobster,langosta americana,homard,amerikanischer Hummer,अमेरिकी झींगा मछली
1125,spiny lobster,langosta espinosa,langouste,Languste,काँटेदार झींगा मछली
1126,crayfish,cangrejo de río,écrevisse,Flusskrebs,क्रेफ़िश
1127,hermit crab,cangrejo ermitaño,bernard l'ermite,Einsiedlerkrebs,एकांतवासी केकड़ा
1128,isopod,isopod,isopod,Assel,isopod
1129,white stork,cigüeña blanca,cigogne blanche,Weißer Storch,सफेद सारस
1130,black stork,cigüeña negro,cigogne noire,Schwarzstorch,काला सारस
1131,spoonbill,espátula,spatule,Löffler,एक प्रकार का पक्षी
1132,flamingo,flamenco,flamant,Flamingo,मराल
1133,little blue heron,Garza de pequeño azul,héron bleu,kleiner blauer Reiher,हल्का नीला हेरन
1134,American egret,garza Americana,aigrette américain,amerikanischer Reiher,अमेरिकी सफ़ेद बगुला
1135,bittern,avetoro,butor,Rohrdommel,बिटर्न
1136,crane,grua,grue,Kran,क्रेन
1137,limpkin,limpkin,limpkin,limpkin,limpkin
1138,European gallinule,gallareta Europea,sultane européenne,Europäische gallinule,यूरोपीय gallinule
1139,American coot,Fulica americana,Foulque d'Amérique,amerikanische Blässhuhn,अमेरिकी कूट
1140,bustard,avutarda,outarde,Trappe,उल्लू का पट्टा
1141,ruddy turnstone,vuelvepiedras,turnstone vermeille,Steinwälzer,लाल Turnstone
1142,red-backed sandpiper,correlimos dorsirrojo,bécasseau dos rouge,rot-backed Flussuferläufer,लाल समर्थित सैंडपाइपर
1143,redshank,archibebe,redshank,Rotschenkel,रेडषांक
1144,dowitcher,Dowitcher,Bécasseau,dowitcher,dowitcher
1145,oystercatcher,ostrero,huîtrier,Austernfischer,oystercatcher
1146,pelican,pelícano,pélican,Pelikan,हवासील
1147,king penguin,pingüino real,pingouin roi,König Pinguin,राजा पेंगुइन
1148,albatross,albatros,albatros,Albatros,भारी अड़चन
1149,grey whale,ballena gris,baleine grise,Grauwal,ग्रे व्हेल
1150,killer whale,Orca,orque,Killerwal,जानलेवा व्हले
1151,dugong,dugongo,dugong,dugong,Dugong
1152,sea lion,León marino,Lion de mer,Seelöwe,सील
1153,Chihuahua,Chihuahua,Chihuahua,Chihuahua,चिहुआहुआ
1154,Japanese spaniel,Spaniel japonés,épagneul japonais,japanischer spaniel,जापानी स्पैनियल
1155,Maltese dog,perro maltés,chien maltais,Malteser Hund,माल्टीज़ कुत्ते
1156,Pekinese,pekinés,pékinois,Pekinese,पेकिंग का
1157,Shih-Tzu,Shih-Tzu,Shih-Tzu,Shih-Tzu,शिह-जू
